发明人,专利名
纪慧中,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
熊文硕,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
董恩清,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
张德敬,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
孙祺,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
高翔,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
常树旺,一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
董恩清,基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
薛鹏,基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
曹海,基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
傅宇,基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
纪慧中,基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
崔文韬,基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
董恩清,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
金叶,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
纪慧中,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
倪天骄,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
薛鹏,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
傅宇,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
曹海,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
崔文韬,基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
董恩清,基于张量稀疏表示的拓扑结构维持的图像配准方法
亓玉佩,基于张量稀疏表示的拓扑结构维持的图像配准方法
李宇森,基于张量稀疏表示的拓扑结构维持的图像配准方法
薛鹏,基于张量稀疏表示的拓扑结构维持的图像配准方法
纪慧中,基于张量稀疏表示的拓扑结构维持的图像配准方法
熊文硕,基于张量稀疏表示的拓扑结构维持的图像配准方法
董恩清,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
金叶,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
纪慧中,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
倪天骄,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
薛鹏,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
傅宇,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
曹海,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
崔文韬,基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
董恩清,一种非刚性医学图像配准方法
李宇森,一种非刚性医学图像配准方法
亓玉佩,一种非刚性医学图像配准方法
薛鹏,一种非刚性医学图像配准方法
纪慧中,一种非刚性医学图像配准方法
熊文硕,一种非刚性医学图像配准方法
董恩清,一种基于窄带约束的几何活动轮廓模型局部分割方法
刘肖,一种基于窄带约束的几何活动轮廓模型局部分割方法
孙文燕,一种基于窄带约束的几何活动轮廓模型局部分割方法
薛鹏,一种基于窄带约束的几何活动轮廓模型局部分割方法
纪慧中,一种基于窄带约束的几何活动轮廓模型局部分割方法
熊文硕,一种基于窄带约束的几何活动轮廓模型局部分割方法
董恩清,一种基于三维深度学习网络的肺结节良恶性预测方法
熊文硕,一种基于三维深度学习网络的肺结节良恶性预测方法
纪惠中,一种基于三维深度学习网络的肺结节良恶性预测方法
金叶,一种基于三维深度学习网络的肺结节良恶性预测方法
倪天骄,一种基于三维深度学习网络的肺结节良恶性预测方法
薛鹏,一种基于三维深度学习网络的肺结节良恶性预测方法
韩贺,一种基于三维深度学习网络的肺结节良恶性预测方法
杨艳霜,一种基于套孔应力解除法测量地应力时的激光定位装置
骆顺天,一种基于套孔应力解除法测量地应力时的激光定位装置
肖衡林,一种基于套孔应力解除法测量地应力时的激光定位装置
胡其志,一种基于套孔应力解除法测量地应力时的激光定位装置
马强,一种基于套孔应力解除法测量地应力时的激光定位装置
李金兰,一种基于套孔应力解除法测量地应力时的激光定位装置
张帆,一种基于套孔应力解除法测量地应力时的激光定位装置
周辉,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
龚春艳,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
卢景景,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
张传庆,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
高阳,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
杨凡杰,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
朱勇,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
杨艳霜,实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
宋尔卫,乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
龚畅,乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
沈君,乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
杨雅平,乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
程子亮,乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
林婉仪,乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
龚畅,一种预测致密型乳腺的乳腺病灶恶性风险模型及其构建方法
杨雅平,一种预测致密型乳腺的乳腺病灶恶性风险模型及其构建方法
胡越,一种预测致密型乳腺的乳腺病灶恶性风险模型及其构建方法
林婉仪,一种预测致密型乳腺的乳腺病灶恶性风险模型及其构建方法
龚畅,一种环状RNA全长序列的检测方法
刘子豪,一种环状RNA全长序列的检测方法
梁格豪,一种环状RNA全长序列的检测方法
龚畅,评估Paget’s 病伴浸润性导管癌患者预后的模型及其应用
谭璐媛,评估Paget’s 病伴浸润性导管癌患者预后的模型及其应用
龚畅,乳腺癌循环肿瘤细胞miRNA和EMT标记物联合检测试剂盒及其应用
宋尔卫,乳腺癌循环肿瘤细胞miRNA和EMT标记物联合检测试剂盒及其应用
谭维格,乳腺癌循环肿瘤细胞miRNA和EMT标记物联合检测试剂盒及其应用
梁格豪,乳腺癌循环肿瘤细胞miRNA和EMT标记物联合检测试剂盒及其应用
谢新华,乳腺癌循环肿瘤细胞miRNA和EMT标记物联合检测试剂盒及其应用
龚畅,一种预测ER+乳腺癌新辅助化疗效果的试剂盒和系统
宋尔卫,一种预测ER+乳腺癌新辅助化疗效果的试剂盒和系统
谭维格,一种预测ER+乳腺癌新辅助化疗效果的试剂盒和系统
周佩剑,高抗汽蚀的自吸离心泵
吴振兴,高抗汽蚀的自吸离心泵
牟介刚,高抗汽蚀的自吸离心泵
简捷,高抗汽蚀的自吸离心泵
郑水华,高抗汽蚀的自吸离心泵
谷云庆,高抗汽蚀的自吸离心泵
吴登昊,高抗汽蚀的自吸离心泵
周佩剑,一种抑制离心泵叶轮入口回流涡的机构
刘涛,一种抑制离心泵叶轮入口回流涡的机构
牟介刚,一种抑制离心泵叶轮入口回流涡的机构
周佩剑,一种离心泵半开式叶轮
刘诺佳,一种离心泵半开式叶轮
牟介刚,一种离心泵半开式叶轮
周佩剑,一种平面抛光方法
颜朝寿,一种平面抛光方法
蒋豪杰,一种平面抛光方法
牟介刚,一种平面抛光方法
吴瑛,基于多元信息融合的健康生活方式指导系统及方法
陈玉玲,基于多元信息融合的健康生活方式指导系统及方法
邓颖,基于多元信息融合的健康生活方式指导系统及方法
吴芳琴,基于多元信息融合的健康生活方式指导系统及方法
岳鹏,基于多元信息融合的健康生活方式指导系统及方法
刘溢思,基于多元信息融合的健康生活方式指导系统及方法
张艳,基于多元信息融合的健康生活方式指导系统及方法
吴瑛,用于患者服药远程监控的服药提醒系统及方法
陈玉玲,用于患者服药远程监控的服药提醒系统及方法
邓颖,用于患者服药远程监控的服药提醒系统及方法
吴芳琴,用于患者服药远程监控的服药提醒系统及方法
岳鹏,用于患者服药远程监控的服药提醒系统及方法
刘溢思,用于患者服药远程监控的服药提醒系统及方法
张艳,用于患者服药远程监控的服药提醒系统及方法
吴瑛,用于提供冠心病延续性护理的远程医疗系统及方法
陈玉玲,用于提供冠心病延续性护理的远程医疗系统及方法
邓颖,用于提供冠心病延续性护理的远程医疗系统及方法
吴芳琴,用于提供冠心病延续性护理的远程医疗系统及方法
岳鹏,用于提供冠心病延续性护理的远程医疗系统及方法
刘溢思,用于提供冠心病延续性护理的远程医疗系统及方法
张艳,用于提供冠心病延续性护理的远程医疗系统及方法
吴瑛,用于健康行为干预的云端管理数据库建立方法及系统
陈玉玲,用于健康行为干预的云端管理数据库建立方法及系统
邓颖,用于健康行为干预的云端管理数据库建立方法及系统
吴芳琴,用于健康行为干预的云端管理数据库建立方法及系统
吴瑛,基于移动智能终端的辅助戒烟智能规划系统及方法
陈玉玲,基于移动智能终端的辅助戒烟智能规划系统及方法
邓颖,基于移动智能终端的辅助戒烟智能规划系统及方法
吴芳琴,基于移动智能终端的辅助戒烟智能规划系统及方法
岳鹏,基于移动智能终端的辅助戒烟智能规划系统及方法
刘溢思,基于移动智能终端的辅助戒烟智能规划系统及方法
张艳,基于移动智能终端的辅助戒烟智能规划系统及方法
张宏,基于Abaqus平台疲劳损伤与寿命评估方法
王清远,基于Abaqus平台疲劳损伤与寿命评估方法
刘永杰,基于Abaqus平台疲劳损伤与寿命评估方法
王宠,基于Abaqus平台疲劳损伤与寿命评估方法
李浪,基于Abaqus平台疲劳损伤与寿命评估方法
何超,基于固有频率的超声疲劳裂纹扩展速率测量方法
王清远,基于固有频率的超声疲劳裂纹扩展速率测量方法
刘永杰,基于固有频率的超声疲劳裂纹扩展速率测量方法
李雪,基于固有频率的超声疲劳裂纹扩展速率测量方法
李浪,基于固有频率的超声疲劳裂纹扩展速率测量方法
张宏,基于固有频率的超声疲劳裂纹扩展速率测量方法
王宠,基于固有频率的超声疲劳裂纹扩展速率测量方法
陈尧,基于热耗散的高效率原位超声疲劳实验系统及其实现方法
刘永杰,基于热耗散的高效率原位超声疲劳实验系统及其实现方法
王清远,基于热耗散的高效率原位超声疲劳实验系统及其实现方法
张宏,面心立方材料疲劳过程晶体塑性本构模型建立方法
王清远,面心立方材料疲劳过程晶体塑性本构模型建立方法
刘永杰,面心立方材料疲劳过程晶体塑性本构模型建立方法
王宠,面心立方材料疲劳过程晶体塑性本构模型建立方法
李浪,面心立方材料疲劳过程晶体塑性本构模型建立方法
李浪,一种非接触式多尺度裂纹识别方法
王清远,一种非接触式多尺度裂纹识别方法
刘永杰,一种非接触式多尺度裂纹识别方法
董江峰,一种非接触式多尺度裂纹识别方法
张宏,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
张玮,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
王林森,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
王清远,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
刘永杰,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
李浪,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
何超,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
王宠,基于晶体塑性的疲劳裂纹萌生与扩展的损伤寿命评估方法
张宏,一种基于机器学习的材料抗疲劳优化设计方法
王清远,一种基于机器学习的材料抗疲劳优化设计方法
刘永杰,一种基于机器学习的材料抗疲劳优化设计方法
王宠,一种基于机器学习的材料抗疲劳优化设计方法
何超,一种基于机器学习的材料抗疲劳优化设计方法
李浪,一种基于机器学习的材料抗疲劳优化设计方法
何超,一种统一试样尺寸的超声疲劳应力放大装置
王清远,一种统一试样尺寸的超声疲劳应力放大装置
王宠,一种统一试样尺寸的超声疲劳应力放大装置
刘永杰,一种统一试样尺寸的超声疲劳应力放大装置
李雪,一种统一试样尺寸的超声疲劳应力放大装置
李浪,一种统一试样尺寸的超声疲劳应力放大装置
张宏,一种统一试样尺寸的超声疲劳应力放大装置
张宏,基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法
王清远,基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法
刘永杰,基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法
王宠,基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法
李浪,基于晶体塑性焊接工艺模型的损伤与疲劳寿命评估方法
林鹏飞,一种基于粒子群算法水库多目标供水能力优化方法
游进军,一种基于粒子群算法水库多目标供水能力优化方法
贾玲,一种基于粒子群算法水库多目标供水能力优化方法
蒋云钟,一种基于粒子群算法水库多目标供水能力优化方法
方国华,一种基于粒子群算法水库多目标供水能力优化方法
汪林,一种基于粒子群算法水库多目标供水能力优化方法
薛志春,一种基于粒子群算法水库多目标供水能力优化方法
付敏,一种基于粒子群算法水库多目标供水能力优化方法
刘鼎,一种基于粒子群算法水库多目标供水能力优化方法
闫腾,一种基于粒子群算法水库多目标供水能力优化方法
姚懿真,一种基于粒子群算法水库多目标供水能力优化方法
薛志春,一种用于检测河道防汛水位的监测预警系统
邸苏闯,一种用于检测河道防汛水位的监测预警系统
潘兴瑶,一种用于检测河道防汛水位的监测预警系统
刘洪禄,一种用于检测河道防汛水位的监测预警系统
李永坤,一种用于检测河道防汛水位的监测预警系统
张书函,一种用于检测河道防汛水位的监测预警系统
王丽晶,一种用于检测河道防汛水位的监测预警系统
张岑,一种用于检测河道防汛水位的监测预警系统
周星,一种用于检测河道防汛水位的监测预警系统
卢亚静,一种用于检测河道防汛水位的监测预警系统
于磊,一种用于检测河道防汛水位的监测预警系统
邱颖,一种用于检测河道防汛水位的监测预警系统
杨思敏,一种用于检测河道防汛水位的监测预警系统
赵曦月,一种用于检测河道防汛水位的监测预警系统
游进军,一种基于二层结构的流域生态调度方法
薛志春,一种基于二层结构的流域生态调度方法
林鹏飞,一种基于二层结构的流域生态调度方法
牛存稳,一种基于二层结构的流域生态调度方法
魏娜,一种基于二层结构的流域生态调度方法
贺华翔,一种基于二层结构的流域生态调度方法
马真臻,一种基于二层结构的流域生态调度方法
杨朝晖,一种基于二层结构的流域生态调度方法
王婷,一种基于二层结构的流域生态调度方法
游进军,一种跨流域调水工程的配置调度方法及装置
贾玲,一种跨流域调水工程的配置调度方法及装置
林鹏飞,一种跨流域调水工程的配置调度方法及装置
薛志春,一种跨流域调水工程的配置调度方法及装置
薛志春,一种用于城市道路的分布式排水装置
邸苏闯,一种用于城市道路的分布式排水装置
潘兴瑶,一种用于城市道路的分布式排水装置
刘洪禄,一种用于城市道路的分布式排水装置
李永坤,一种用于城市道路的分布式排水装置
张书函,一种用于城市道路的分布式排水装置
于磊,一种用于城市道路的分布式排水装置
卢亚静,一种用于城市道路的分布式排水装置
杨思敏,一种用于城市道路的分布式排水装置
赵飞,一种用于城市道路的分布式排水装置
张岑,一种用于城市道路的分布式排水装置
王丽晶,一种用于城市道路的分布式排水装置
周星,一种用于城市道路的分布式排水装置
孙冉,一种用于城市道路的分布式排水装置
薛志春,分布式堤防安全监测系统
邸苏闯,分布式堤防安全监测系统
潘兴瑶,分布式堤防安全监测系统
刘洪禄,分布式堤防安全监测系统
李永坤,分布式堤防安全监测系统
张书函,分布式堤防安全监测系统
孙冉,分布式堤防安全监测系统
邱颖,分布式堤防安全监测系统
张岑,分布式堤防安全监测系统
卢亚静,分布式堤防安全监测系统
王丽晶,分布式堤防安全监测系统
赵飞,分布式堤防安全监测系统
薛志春,一种用于雨水箅子的防溢流装置
邸苏闯,一种用于雨水箅子的防溢流装置
潘兴瑶,一种用于雨水箅子的防溢流装置
刘洪禄,一种用于雨水箅子的防溢流装置
李永坤,一种用于雨水箅子的防溢流装置
张岑,一种用于雨水箅子的防溢流装置
邱颖,一种用于雨水箅子的防溢流装置
于磊,一种用于雨水箅子的防溢流装置
张书函,一种用于雨水箅子的防溢流装置
周星,一种用于雨水箅子的防溢流装置
张冠宇,一种用于雨水箅子的防溢流装置
赵羲月,一种用于雨水箅子的防溢流装置
薛志春,一种用于河道建筑物的鱼嘴型防洪装置
邸苏闯,一种用于河道建筑物的鱼嘴型防洪装置
潘兴瑶,一种用于河道建筑物的鱼嘴型防洪装置
刘洪禄,一种用于河道建筑物的鱼嘴型防洪装置
李永坤,一种用于河道建筑物的鱼嘴型防洪装置
于磊,一种用于河道建筑物的鱼嘴型防洪装置
邱颖,一种用于河道建筑物的鱼嘴型防洪装置
杨思敏,一种用于河道建筑物的鱼嘴型防洪装置
赵飞,一种用于河道建筑物的鱼嘴型防洪装置
王丽晶,一种用于河道建筑物的鱼嘴型防洪装置
卢亚静,一种用于河道建筑物的鱼嘴型防洪装置
周星,一种用于河道建筑物的鱼嘴型防洪装置
张岑,一种用于河道建筑物的鱼嘴型防洪装置
张冠宇,一种用于河道建筑物的鱼嘴型防洪装置
王希晨,双滑道旋流式侧壁消能竖井
张健,双滑道旋流式侧壁消能竖井
俞晓东,双滑道旋流式侧壁消能竖井
陈胜,双滑道旋流式侧壁消能竖井
陈胜,一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
张健,一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
范呈昱,一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
许听雨,一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
俞晓东,一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
张磊,一种确定低扬程加压系统停泵事故泵后阀门关闭规律的方法
魏佳芳,直流式竖井结构卷吸气量及管内气压的计算方法
张健,直流式竖井结构卷吸气量及管内气压的计算方法
俞晓东,直流式竖井结构卷吸气量及管内气压的计算方法
陈胜,直流式竖井结构卷吸气量及管内气压的计算方法
陈胜,一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
张健,一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
范呈昱,一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
许听雨,一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
俞晓东,一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
张磊,一种确定低扬程输水系统停泵事故泵后阀门关闭规律的方法
俞晓东,一种改变城市深隧滞留气团排出位置及时间的结构
营佳玮,一种改变城市深隧滞留气团排出位置及时间的结构
张健,一种改变城市深隧滞留气团排出位置及时间的结构
陈胜,一种改变城市深隧滞留气团排出位置及时间的结构
郑雪莲,一种改变城市深隧滞留气团排出位置及时间的结构
范呈昱,一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
张健,一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
许听雨,一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
张磊,一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
俞晓东,一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
陈胜,一种确定高扬程输水系统停泵事故泵后阀门关闭规律的方法
石林,一种解决高扬程输水系统正压过大的阀门操作方法
张健,一种解决高扬程输水系统正压过大的阀门操作方法
刘芳,一种解决高扬程输水系统正压过大的阀门操作方法
俞晓东,一种解决高扬程输水系统正压过大的阀门操作方法
王兴涛,一种解决高扬程输水系统正压过大的阀门操作方法
赵文龙,一种解决高扬程输水系统正压过大的阀门操作方法
陈胜,一种岩塞爆破水气过渡过程水力特性的计算方法
张健,一种岩塞爆破水气过渡过程水力特性的计算方法
张小莹,一种岩塞爆破水气过渡过程水力特性的计算方法
俞晓东,一种岩塞爆破水气过渡过程水力特性的计算方法
王晶,一种岩塞爆破水气过渡过程水力特性的计算方法
陈雪,一种岩塞爆破水气过渡过程水力特性的计算方法
张健,大进气条件下真空破坏阀的模型计算方法
张小莹,大进气条件下真空破坏阀的模型计算方法
范呈昱,大进气条件下真空破坏阀的模型计算方法
俞晓东,大进气条件下真空破坏阀的模型计算方法
陈胜,大进气条件下真空破坏阀的模型计算方法
陈旭云,大进气条件下真空破坏阀的模型计算方法
倪尉翔,大进气条件下真空破坏阀的模型计算方法
刘芳,消能箱
俞晓东,消能箱
张健,消能箱
陈胜,消能箱
倪尉祥,消能箱
蒋捷,消能箱
俞晓东,一种基于曲柄连杆传力的竖井消能及储能装置
杨秀维,一种基于曲柄连杆传力的竖井消能及储能装置
张健,一种基于曲柄连杆传力的竖井消能及储能装置
陈胜,一种基于曲柄连杆传力的竖井消能及储能装置
汤盼鑫,一种基于曲柄连杆传力的竖井消能及储能装置
魏佳芳,降低吸入气体量的直流式跌水结构
张健,降低吸入气体量的直流式跌水结构
俞晓东,降低吸入气体量的直流式跌水结构
陈胜,降低吸入气体量的直流式跌水结构
营佳玮,用于缓解深隧滞留气团排出的管道与入流竖井衔接结构
俞晓东,用于缓解深隧滞留气团排出的管道与入流竖井衔接结构
张健,用于缓解深隧滞留气团排出的管道与入流竖井衔接结构
陈胜,用于缓解深隧滞留气团排出的管道与入流竖井衔接结构
许听雨,用于缓解深隧滞留气团排出的管道与入流竖井衔接结构
胡晗,分散式挑流消能工冲坑深度的预测方法
李宗坤,一种便捷的堤坝临水侧渗漏定位装置
莫向明,一种便捷的堤坝临水侧渗漏定位装置
施雯珂,一种便捷的堤坝临水侧渗漏定位装置
葛巍,一种便捷的堤坝临水侧渗漏定位装置
张亚东,一种便捷的堤坝临水侧渗漏定位装置
葛巍,一种水利工程水闸结构
李宗坤,一种水利工程水闸结构
张兆省,一种水利工程水闸结构
皇甫泽华,一种水利工程水闸结构
程荣川,一种水利工程水闸结构
左颖,一种基于自更新模型的流程型生产设备产品质量预测方法
柯超凡,一种基于自更新模型的流程型生产设备产品质量预测方法
张萌,一种基于自更新模型的流程型生产设备产品质量预测方法
陶飞,一种基于自更新模型的流程型生产设备产品质量预测方法
陶飞,一种数字孪生驱动的数控机床刀具监控系统
汪轶群,一种数字孪生驱动的数控机床刀具监控系统
王雨澄,一种数字孪生驱动的数控机床刀具监控系统
左颖,一种数字孪生驱动的数控机床刀具监控系统
邹孝付,一种数字孪生驱动的数控机床刀具监控系统
陶飞,一种数字孪生系统复杂任务可配置高效求解方法和系统
邹孝付,一种数字孪生系统复杂任务可配置高效求解方法和系统
左颖,一种数字孪生系统复杂任务可配置高效求解方法和系统
陶飞,一种数字孪生驱动的复杂装备故障预测方法
王雨澄,一种数字孪生驱动的复杂装备故障预测方法
左颖,一种数字孪生驱动的复杂装备故障预测方法
黄巍,一种数字孪生驱动的复杂装备故障预测方法
陶飞,一种数字孪生驱动的热压罐管控系统
王雨澄,一种数字孪生驱动的热压罐管控系统
左颖,一种数字孪生驱动的热压罐管控系统
左颖,基于改进类电磁机制算法的绿色柔性作业车间调度方法
曲明昊,基于改进类电磁机制算法的绿色柔性作业车间调度方法
陶飞,基于改进类电磁机制算法的绿色柔性作业车间调度方法
左颖,一种适于制造过程规划的智能优化算法推荐方法
任天翔,一种适于制造过程规划的智能优化算法推荐方法
王钰淇,一种适于制造过程规划的智能优化算法推荐方法
乔运华,一种适于制造过程规划的智能优化算法推荐方法
孙嘉玉,一种适于制造过程规划的智能优化算法推荐方法
邹孝付,一种适于制造过程规划的智能优化算法推荐方法
陶飞,一种适于制造过程规划的智能优化算法推荐方法
陶飞,一种基于数字孪生的车间调度方法
张萌,一种基于数字孪生的车间调度方法
左颖,一种基于数字孪生的车间调度方法
刘蔚然,一种基于机器视觉的数字孪生模型修正方法与系统
陶飞,一种基于机器视觉的数字孪生模型修正方法与系统
程江峰,一种基于机器视觉的数字孪生模型修正方法与系统
左颖,一种基于机器视觉的数字孪生模型修正方法与系统
田凌,基于图数据库的机械产品数字孪生模型分层建模方法
郑孟蕾,基于图数据库的机械产品数字孪生模型分层建模方法
代菁洲,基于图数据库的机械产品数字孪生模型分层建模方法
刘思超,基于图数据库的机械产品数字孪生模型分层建模方法
田凌,一种基于接触加热的弯曲钞票展平装置
陈俊宇,一种基于接触加热的弯曲钞票展平装置
张承巍,一种基于接触加热的弯曲钞票展平装置
刘果,一种基于接触加热的弯曲钞票展平装置
田凌,一种基于红外加热的弯曲钞票展平装置
刘果,一种基于红外加热的弯曲钞票展平装置
张承巍,一种基于红外加热的弯曲钞票展平装置
陈俊宇,一种基于红外加热的弯曲钞票展平装置
聂如松,一种用于路基监测的沉降板
冷伍明,一种用于路基监测的沉降板
程龙虎,一种用于路基监测的沉降板
董俊利,一种用于路基监测的沉降板
魏广帅,一种用于路基监测的沉降板
杨奇,一种用于路基监测的沉降板
徐方,一种用于路基监测的沉降板
梅慧浩,一种用于路基监测的沉降板
赵春彦,一种用于路基监测的沉降板
杜市委,一种用于路基监测的沉降板
聂如松,一种路基沉降监测装置
董俊利,一种路基沉降监测装置
魏广帅,一种路基沉降监测装置
冷伍明,一种路基沉降监测装置
程龙虎,一种路基沉降监测装置
杨奇,一种路基沉降监测装置
徐方,一种路基沉降监测装置
梅慧浩,一种路基沉降监测装置
赵春彦,一种路基沉降监测装置
杜市委,一种路基沉降监测装置
徐方,一种真空-堆载联合预压下塑料排水板地基的模型试验装置
韩諝,一种真空-堆载联合预压下塑料排水板地基的模型试验装置
冷伍明,一种真空-堆载联合预压下塑料排水板地基的模型试验装置
聂如松,一种真空-堆载联合预压下塑料排水板地基的模型试验装置
杨奇,一种真空-堆载联合预压下塑料排水板地基的模型试验装置
刘路广,虾稻共作灌溉定额计算方法
吴瑕,虾稻共作灌溉定额计算方法
关洪林,虾稻共作灌溉定额计算方法
潘少斌,虾稻共作灌溉定额计算方法
杨小伟,虾稻共作灌溉定额计算方法
董苇,虾稻共作灌溉定额计算方法
张建涛,虾稻共作灌溉定额计算方法
陈绪勋,虾稻共作灌溉定额计算方法
刘路广,水稻作物系数计算方法以及水稻灌溉系统
吴瑕,水稻作物系数计算方法以及水稻灌溉系统
关洪林,水稻作物系数计算方法以及水稻灌溉系统
崔远来,水稻作物系数计算方法以及水稻灌溉系统
潘少斌,水稻作物系数计算方法以及水稻灌溉系统
杨小伟,水稻作物系数计算方法以及水稻灌溉系统
王剑,水稻作物系数计算方法以及水稻灌溉系统
焦平金,水稻作物系数计算方法以及水稻灌溉系统
董苇,水稻作物系数计算方法以及水稻灌溉系统
张建涛,水稻作物系数计算方法以及水稻灌溉系统
陈绪勋,水稻作物系数计算方法以及水稻灌溉系统
宋玲,一种用于缆机吊罐入仓过程中的吊罐防摆装置和方法
鄢璞,一种用于缆机吊罐入仓过程中的吊罐防摆装置和方法
胡超,一种用于缆机吊罐入仓过程中的吊罐防摆装置和方法
邓世恒,一种用于缆机吊罐入仓过程中的吊罐防摆装置和方法
胡超,一种混凝土坝缆机入仓轨迹规划与控制方法
陈廷才,一种混凝土坝缆机入仓轨迹规划与控制方法
周宜红,一种混凝土坝缆机入仓轨迹规划与控制方法
胡超,一种基于多维信息模型的土料场开采规划方法
王忠耀,一种基于多维信息模型的土料场开采规划方法
周宜红,一种基于多维信息模型的土料场开采规划方法
喻葭临,一种基于多维信息模型的土料场开采规划方法
杨泽艳,一种基于多维信息模型的土料场开采规划方法
陈媛媛,一种基于多维信息模型的土料场开采规划方法
贺俊,一种组合定位缆机运行监测系统
周宜红,一种组合定位缆机运行监测系统
赵春菊,一种组合定位缆机运行监测系统
胡超,一种组合定位缆机运行监测系统
胡超,一种复杂形态土料场开挖量计算方法
陈媛媛,一种复杂形态土料场开挖量计算方法
陈廷才,一种复杂形态土料场开挖量计算方法
徐盛,一种复杂形态土料场开挖量计算方法
胡超,一种土石坝填筑料移动补水装置及方法
陈媛媛,一种土石坝填筑料移动补水装置及方法
杨泽艳,一种土石坝填筑料移动补水装置及方法
喻葭临,一种土石坝填筑料移动补水装置及方法
王忠耀,一种土石坝填筑料移动补水装置及方法
胡超,混凝土拱坝缆机运行轨迹线规划方法
陈廷才,混凝土拱坝缆机运行轨迹线规划方法
周宜红,混凝土拱坝缆机运行轨迹线规划方法
鄢璞,一种安全高效的缆机吊罐稳罐装置
宋玲,一种安全高效的缆机吊罐稳罐装置
胡超,一种安全高效的缆机吊罐稳罐装置
